player,monster,level,variant,出場回数,A(アクティブ),P(コンパニオン),url01,url02,url03,url04,url05,url06,url07,url08,url09,url10,url11
タカヤマン,ブラスドラゴン朱,56,亜種2,3,スキュアー / スパイクテイル / 光の刻印,ハートオブマーブル / ビーストクッキー / ミラージュ / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=3&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=35&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=101&se=4&t=1,,,,,,,,
タカヤマン,シルドラ壱型,50,原種,1,ビーストキラー / ベノムスティング / 光の刻印,守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=3&se=4&t=1,,,,,,,,,,
タカヤマン,カシャ／黒,51,亜種1,3,ペイルムーン / 光のベール / 光の楔 / 風葬,エンジェリックウィング / ビーストクッキー / ミラージュ / リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=3&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=101&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=106&se=4&t=1,,,,,,,,
タカヤマン,クン・アヌン白,44,亜種2,3,クルセイド / 光のベール / 光の楔 / 風葬,ハートオブマーブル / ビーストクッキー / ミラージュ / リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=3&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=101&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=106&se=4&t=1,,,,,,,,
タカヤマン,パズズ赤目,46,亜種2,3,ダブルアタック / デルタスラッシュ / ドラゴニックロア / バインドグラスプ,ハートオブマーブル / ビーストクッキー / ミラージュ / リジェネレイト / 守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=35&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=101&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=106&se=4&t=1,,,,,,,,
タカヤマン,F.S.M.～①,37,亜種2,1,ハスタリーザ / 光のベール / 光の楔,ハートオブフレイム,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=35&se=4&t=1,,,,,,,,,,
タカヤマン,F.S.M.～１,57,原種,1,フォトケミカルスモッグ / 光のベール / 風葬,ハートオブフレイム,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=35&se=4&t=1,,,,,,,,,,
タカヤマン,ケット・シー／１号,57,亜種2,2,テンペスト / ヒヤデスウィンド / フェアリーエイド / ペイルムーン / 光のベール,ハートオブウィンド,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=67&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=104&se=4&t=1,,,,,,,,,
タカヤマン,ケット・シー／２号,67,亜種2,2,アゼランザ / エンジェルダスト / トランキリティ / フェイズアウト / ルルハラント,ミラージュ / リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=67&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=104&se=4&t=1,,,,,,,,,
タカヤマン,スノウ／白,63,亜種2,3,ヒヤデスウィンド / フサリア / フラッシュファイア / リヴァイヴ / 炎の刻印,クィックオーダー / ハートオブオーシャン / リジェネレイト / 守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=67&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=104&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=105&se=4&t=1,,,,,,,,
タカヤマン,サキュバス１,46,原種,3,アウェイクニング / エンジェルダスト / スタンダールシンドローム / ペイルムーン / 悪魔のトリル,ハートオブオーシャン / リジェネレイト / 守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=67&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=104&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=105&se=4&t=1,,,,,,,,
タカヤマン,ドール／壱,50,原種,4,アウターキラー / アースクェイク / スキュアー / スタンピード / チャージ,アウタークッキー / ミラージュ / リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=100&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=102&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=103&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=107&se=4&t=1,,,,,,,
タカヤマン,ティンダロスハウンド@,43,亜種1,4,スキュアー / フェイズアウト / ルルハラント / 光のベール / 光の楔,アウタークッキー / リジェネレイト / 守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=100&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=102&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=103&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=107&se=4&t=1,,,,,,,
タカヤマン,F.S.M.～②,38,亜種2,4,アゼランザ / テンペスト / ミラーズ / ユロール / 光の楔,アウタークッキー / ハートオブフレイム,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=100&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=102&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=103&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=107&se=4&t=1,,,,,,,
タカヤマン,スターヴァンパイア☆,46,原種,4,ミラーズ / ユロール / 光のベール / 光の楔 / 風葬,アウタークッキー / ハートオブフレイム / ミラージュ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=100&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=102&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=103&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=107&se=4&t=1,,,,,,,
タカヤマン,ペリ／零,49,,1,,リジェネレイト / 守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=105&se=4&t=1,,,,,,,,,,
タカヤマン,スノウ／藍,44,亜種1,1,キャンセレイション / スノウストーム / ヒヤデスウィンド / フェアリーエイド,ミラージュ / リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=105&se=4&t=1,,,,,,,,,,
タカヤマン,シルドラ,50,原種,1,アースクェイク / デスサイズ / ベノムスティング / 光の刻印,ハートオブオーシャン / リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=106&se=4&t=1,,,,,,,,,,
