player,monster,level,variant,出場回数,A(アクティブ),P(コンパニオン),urls
酒と泪,オールドワン (2),47,原種,8,デルバイス / ペトロガス / ミラーズ / ユロール / ワインクラウド,リジェネレイト / 守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=43&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=107&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=139&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=171&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=203&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=235&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=267&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=331&se=3&t=1
酒と泪,オールドワン (3),41,原種,1,ミラーズ / ユロール,リジェネレイト / 守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=75&se=3&t=1
Vince,ジャバウォック (1),44,亜種2,5,ジャバー / ハードブロウ,レジストスリープ / レジストチャーム / 守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=7&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=39&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=71&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=103&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=135&se=3&t=1
Vince,ジャバウォック (2),43,亜種2,4,ジャバー / ハードブロウ,レジストスリープ / 守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=199&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=232&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=234&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=235&se=3&t=1
Vince,ハギス,37,亜種1,2,アーマーメルト / スタンピード / 超低周波,レジストスリープ / 防火布,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=7&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=235&se=3&t=1
Vince,エアリエル (1),33,原種,4,テンペスト,HPブースト / クィックオーダー / 魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=7&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=39&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=71&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=135&se=3&t=1
Vince,エアリエル (2),32,原種,5,テンペスト,魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=103&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=199&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=232&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=233&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=234&se=3&t=1
Vince,スノウ (1),26,亜種1,5,スノウストーム / スリートストーム / 氷の花,HPブースト / リフレクション / 敏捷ブースト / 防火布 / 魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=7&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=39&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=71&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=135&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=235&se=3&t=1
Vince,スノウ (2),25,亜種1,4,スノウストーム / スリートストーム / 氷の花,HPブースト / 敏捷ブースト / 防火布,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=103&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=232&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=233&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=234&se=3&t=1
Vince,スノウ (3),24,亜種1,1,スリートストーム / 氷の花,敏捷ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=199&se=3&t=1
Vince,スキュラ (1),43,原種,4,アイスランス / バインドグラスプ,レジストスリープ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=39&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=71&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=135&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=234&se=3&t=1
Vince,スキュラ (2),42,原種,3,アイスランス / バインドグラスプ,リフレクション,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=103&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=232&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=233&se=3&t=1
Vince,スキュラ (3),41,原種,1,アイスランス,,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=199&se=3&t=1
Vince,ペリ,36,原種,1,パイロクラズム / レーヴァテイン,リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=167&se=3&t=1
Vince,グレムリン,15,原種,1,風葬,魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=167&se=3&t=1
Vince,スターヴァンパイア,21,原種,1,エナジードレイン / グリムシャドウ,心の棘 / 魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=167&se=3&t=1
Vince,ドール,12,原種,1,アースクェイク,予習復習,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=167&se=3&t=1
Vince,ショゴス,23,原種,1,テケリ・リ,守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=233&se=3&t=1
Vince,クン・アヌン,10,原種,1,バーニングレイジ / ファイアランス,魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=235&se=3&t=1
Ｄｒ．ウェスト,パズズ,27,原種,7,デルタスラッシュ / ローカストスウォーム,守りのミンネ / 戦いのエール / 防火布,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=34&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=35&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=37&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=39&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=41&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=42&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=43&se=3&t=1
Ｄｒ．ウェスト,ワイバーン (1),22,亜種2,6,スパイクテイル / ベノムスティング / 光の刻印,セントリー,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=34&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=36&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=38&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=40&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=41&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=42&se=3&t=1
Ｄｒ．ウェスト,ワイバーン (2),21,亜種2,4,スパイクテイル / ベノムスティング / 光の刻印,セントリー,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=35&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=37&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=39&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=43&se=3&t=1
Ｄｒ．ウェスト,シムルグ (1),21,原種,2,シードハウザー / バードサンクチュアリ,戦いのエール / 攻撃ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=34&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=43&se=3&t=1
Ｄｒ．ウェスト,シムルグ (2),20,原種,4,シードハウザー / バードサンクチュアリ,戦いのエール / 攻撃ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=35&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=37&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=39&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=41&se=3&t=1
Ｄｒ．ウェスト,F.S.M.,42,原種,6,セメタリーゲート / ハスタリーザ / ブラッドスティール,守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=34&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=35&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=37&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=39&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=41&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=43&se=3&t=1
Ｄｒ．ウェスト,シルバードラゴン,22,原種,4,アイスブレス / ヒーリング / ブリザード,レジストチャーム / 予習復習,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=36&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=38&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=40&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=42&se=3&t=1
Ｄｒ．ウェスト,ルサルカ,15,原種,3,コールドボルト / フラッド / メイルストロム / 悪魔のトリル,防火布,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=36&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=38&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=40&se=3&t=1
Ｄｒ．ウェスト,フェニックス,8,原種,4,ファイアボルト / リヴァイヴ,ミラージュ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=36&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=38&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=40&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=42&se=3&t=1
赤い酒,パズズ (1),40,亜種2,4,デルタスラッシュ / ドラゴニックロア / ローカストスウォーム,ミラージュ / 命中ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=3&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=35&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=101&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=103&se=3&t=1
赤い酒,パズズ (2),39,亜種2,1,デルタスラッシュ / ドラゴニックロア,ミラージュ / 命中ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=106&se=3&t=1
赤い酒,ブラスドラゴン (1),19,亜種1,4,ドラゴンスケイル / ファイアブレス / フォグ / ペトロガス,命中ブースト / 敏捷ブースト / 防御ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=3&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=35&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=101&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=103&se=3&t=1
赤い酒,ブラスドラゴン (2),18,亜種1,1,ファイアブレス / ペトロガス,命中ブースト / 防御ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=106&se=3&t=1
赤い酒,オールドワン (1),23,原種,1,デルバイス / ミラーズ,敏捷ブースト / 魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=106&se=3&t=1
赤い酒,オールドワン (2),21,亜種1,4,デルバイス / ミラーズ / ユロール / ワインクラウド,敏捷ブースト / 魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=3&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=35&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=101&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=103&se=3&t=1
赤い酒,ドール,22,亜種1,4,アースクェイク / イボニーシード / カロウシブスピット / ガッシマ / ダルバドーハ,セントリー / リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=3&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=35&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=101&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=103&se=3&t=1
赤い酒,エアリエル (1),34,原種,6,ストームワーニング / テンペスト / ヴィジョン,フェアリークッキー,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=67&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=100&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=102&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=104&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=105&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=107&se=3&t=1
赤い酒,エアリエル (2),34,原種,1,テンペスト,フェアリークッキー,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=67&se=3&t=1
赤い酒,エアリエル (3),32,原種,4,ストームワーニング / テンペスト / フェアリーエイド,フェアリークッキー,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=102&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=104&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=105&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=107&se=3&t=1
赤い酒,アークディスプレイサー (1),9,亜種2,4,ホロウワールド,アウタークッキー,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=67&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=100&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=102&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=104&se=3&t=1
赤い酒,アークディスプレイサー (2),7,亜種2,2,ホロウワールド,アウタークッキー,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=105&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=107&se=3&t=1
赤い酒,フラーユ,19,原種,6,ジャベリン / スリートストーム / ハイドアウト / 春の雨 / 桜花泡影,フェアリークッキー,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=67&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=100&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=102&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=104&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=105&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=107&se=3&t=1
赤い酒,ダークヤング,23,原種,1,イボニーシード / ガッシマ,セントリー / リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=106&se=3&t=1
緋月,ダークヤング (1),15,原種,1,ペトロガス,リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=4&se=3&t=1
緋月,ダークヤング (2),14,原種,3,ガッシマ / ペトロガス,リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=68&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=137&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=139&se=3&t=1
緋月,アンクー (1),13,原種,9,デスサイズ / パンデミック / ファイアボール / ファストブレード,フェアリークッキー / 心の壁 / 攻撃ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=4&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=36&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=68&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=100&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=133&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=134&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=135&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=136&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=138&se=3&t=1
緋月,アンクー (2),12,原種,2,デスサイズ / パンデミック,心の壁 / 攻撃ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=137&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=139&se=3&t=1
緋月,ルサルカ (1),13,原種,5,フラッド / メイルストロム,フェアリークッキー / 心の壁 / 魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=4&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=36&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=100&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=133&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=135&se=3&t=1
緋月,ルサルカ (2),12,原種,4,フラッド / メイルストロム,フェアリークッキー / 心の壁 / 魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=68&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=134&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=136&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=138&se=3&t=1
緋月,ルサルカ (3),10,原種,1,フラッド / メイルストロム,心の壁 / 魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=139&se=3&t=1
緋月,スキュラ (1),19,亜種1,6,アイスランス / 水流,フェアリークッキー / レジストシック / レジストスリープ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=4&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=36&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=100&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=133&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=135&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=138&se=3&t=1
緋月,スキュラ (2),18,亜種1,3,アイスランス / 水流,エンジェリックウィング / フェアリークッキー,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=68&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=134&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=136&se=3&t=1
緋月,スキュラ (3),17,亜種1,2,アイスランス / 水流,エンジェリックウィング,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=137&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=139&se=3&t=1
緋月,ドール,20,原種,7,アースクェイク / カロウシブスピット / チャージ,アウタークッキー,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=36&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=100&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=133&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=134&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=135&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=136&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=138&se=3&t=1
緋月,グレムリン,19,原種,1,ハイドアウト / 風葬,心の壁 / 魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=137&se=3&t=1
