player,monster,level,variant,出場回数,A(アクティブ),P(コンパニオン),urls
ClayClay,イシュ (2),32,原種,3,アイスランス / スリートストーム / テンペスト,コールドアシスト / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=170&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=298&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=331&se=3&t=1
ClayClay,スピル (1),30,原種,1,アイスランス / スリートストーム,防寒布,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=42&se=3&t=1
ClayClay,スピル (2),29,原種,3,アイスランス / スリートストーム / フラッド / ルルハラント,コールドアシスト / 敏捷ブースト / 防寒布,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=106&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=138&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=202&se=3&t=1
ClayClay,スピル (3),28,原種,2,アイスランス / スリートストーム,コールドアシスト / ハートオブウィンド / 敏捷ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=234&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=298&se=3&t=1
ClayClay,パティ (1),36,原種,2,エルフショット / ダイブ / ペイルムーン / リベレイション / ロッツオブラフ,コールドアシスト / リジェネレイト / 心の棘 / 敏捷ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=74&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=331&se=3&t=1
ClayClay,パティ (2),35,原種,1,エルフショット / ダイブ / ペイルムーン,防火布,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=170&se=3&t=1
ClayClay,アス,36,原種,2,アースクェイク / ダルバドーハ / ラーヴァフロウ,守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=170&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=266&se=3&t=1
ClayClay,コア,30,原種,1,デルバイス / 闇の刻印,ミラージュ / 心の棘,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=266&se=3&t=1
ClayClay,シルバードラゴン,25,原種,1,カラカス / バーニングレイジ / 光のベール / 火葬,リジェネレイト / 敏捷ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=266&se=3&t=1
ClayClay,熱峰分,19,亜種2,1,シャドウレイド / ダブルアタック / チャージ / デルタスラッシュ / バインドグラスプ,守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=331&se=3&t=1
ユウア,ダークヤング (1),35,原種,4,ガッシマ / スタンピード / チャージ / ハードブロウ,守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=2&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=7&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=8&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=11&se=3&t=1
