player,letter,出場回数,monster,level,variant,image,A(アクティブ),P(コンパニオン),url01,url02,url03,url04,url05,url06,url07,url08,url09,url10,url11
なまはる,A,3,フラーユ,40,原,https://eldersign.jp/img/mi/p/f0/058_floweyu_0g1.png,パンデミック / ヒヤデスウィンド / フサリア / ベノムスクラッチ / 桜花泡影,HPブースト / クィックオーダー / 予習復習,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=1&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=7&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=8&se=12&t=1,,,,,,,,
なまはる,A,3,エアリエル,44,原,https://eldersign.jp/img/mi/g/f0/039_ariel_0g4.png,ステイシス / テンペスト / フェアリーエイド / ベノムスクラッチ / 風切り,HPブースト / クィックオーダー / 戦いのエール / 防御ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=1&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=7&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=8&se=12&t=1,,,,,,,,
なまはる,A,3,セイレン,51,亜2,https://eldersign.jp/img/mi/g/f0/024_seiren_2g4.png,アウェイクニング / ヒーリング / ペイルムーン / ポイズンクラウド / 悪魔のトリル,クィックオーダー,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=1&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=7&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=8&se=12&t=1,,,,,,,,
なまはる,A,3,サキュバス,46,亜1,https://eldersign.jp/img/mi/p/f0/043_succubus_1g4.png,スタンダールシンドローム / スノウストーム / スリートストーム / テンプテイション / リヴァイヴ,コールドアシスト / 予習復習,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=1&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=7&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=8&se=12&t=1,,,,,,,,
なまはる,A,8,ブラスドラゴン (1),39,原,https://eldersign.jp/img/mi/g/f0/049_brass-dragon_0g4.png,アイスブランド / ガッシマ / スタンピード / チャージ / ドラゴンスケイル,戦いのエール / 防御ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=2&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=3&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=4&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=5&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=6&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=9&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=10&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=11&se=12&t=1,,,
なまはる,A,8,ブラスドラゴン (2),43,亜2,https://eldersign.jp/img/mi/p/f0/049_brass-dragon_2g4.png,ガッシマ / スタンピード / ドラゴンスケイル / ベノムスティング / 光の刻印,戦いのエール / 防御ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=2&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=3&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=4&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=5&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=6&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=9&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=10&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=11&se=12&t=1,,,
なまはる,A,8,ペリ (1),38,原,https://eldersign.jp/img/mi/g/f0/042_peri_0g4.png,アウローラ / ヒーリングヘイズ / フロストコラムス / ルナエクリプス / 水のベール,コールドアシスト / 予習復習,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=2&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=3&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=4&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=5&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=6&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=9&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=10&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=11&se=12&t=1,,,
なまはる,A,8,ペリ (2),39,原,https://eldersign.jp/img/mi/g/f0/042_peri_0g4.png,アイギスシールド / ガイドスター / ステイシス / ヒーリングヘイズ / 火葬,コールドアシスト / 予習復習,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=2&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=3&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=4&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=5&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=6&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=9&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=10&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=11&se=12&t=1,,,
センカ,B,2,シシリー,32,原,https://eldersign.jp/img/mi/p/f0/058_floweyu_0g1.png,セメタリーゲート / ヒーリングヘイズ / 光のベール / 桜花泡影,守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=1&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=36&se=12&t=1,,,,,,,,,
センカ,B,5,エオヒド,47,亜2,https://eldersign.jp/img/mi/p/f0/044_ankou_2g4.png,ウィンドボルト / エルフショット / パリィ / パンデミック / ファイアランス,フレイムアシスト / フレイムシギル / 敏捷ブースト / 防火布,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=1&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=36&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=37&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=41&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=42&se=12&t=1,,,,,,
センカ,B,3,タイハク,33,原,https://eldersign.jp/img/mi/g/f0/039_ariel_0g7.png,ウィンドボルト / セメタリーゲート / テンペスト / フェアリーエイド,クィックオーダー / 守りのミンネ / 悪目立ち / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=1&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=37&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=41&se=12&t=1,,,,,,,,
センカ,B,5,アエス,51,原,https://eldersign.jp/img/mi/g/f0/041_rusalka_0g7.png,アイスランス / セメタリーゲート / ヒーリングヘイズ / フラッド / ペイルムーン,コールドシギル / 防寒布,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=1&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=36&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=37&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=41&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=42&se=12&t=1,,,,,,
センカ,B,8,リャオタン,45,亜2,https://eldersign.jp/img/mi/p/f0/054_hounds-of-tindalos_2g1.png,シャドウレイド / スタンピード / チャージ / フェイズアウト / ルルハラント,セントリー / リジェネレイト / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=34&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=35&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=36&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=38&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=39&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=40&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=42&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=43&se=12&t=1,,,
センカ,B,6,ゴフン,42,原,https://eldersign.jp/img/mi/g/f0/055_dark-young_0g4.png,のしかかり / ガッシマ / スタンピード / チャージ / ニグラーヌ,ハートオブマーブル / ミラージュ / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=34&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=35&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=38&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=39&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=40&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=43&se=12&t=1,,,,,
センカ,B,6,ミートスパ太郎,37,原,https://eldersign.jp/img/mi/g/f0/053_fsm_0g4.png,アゼランザ / エルフショット / ハスタリーザ / 悪魔のトリル,心の棘,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=34&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=35&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=38&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=39&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=40&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=43&se=12&t=1,,,,,
センカ,B,6,干しイカちゃん,47,原,https://eldersign.jp/img/mi/g/f0/051_old-one_0g4.png,エルフショット / セメタリーゲート / ヒーリング / ブラッドスティール / ミラーズ / ユロール,心の壁 / 心の棘 / 魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=34&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=35&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=38&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=39&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=40&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=43&se=12&t=1,,,,,
センカ,B,2,オルロック,38,亜1,https://eldersign.jp/img/mi/g/f0/074_nachzehrer_1g7.png,ウィンドボルト / ジャベリン / フォトケミカルスモッグ,守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=37&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=41&se=12&t=1,,,,,,,,,
センカ,B,1,シバ,33,亜2,https://eldersign.jp/img/mi/p/f0/042_peri_2g4.png,リヴァイヴ / ルビーレイン / レーヴァテイン,フレイムシギル / 防火布,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=42&se=12&t=1,,,,,,,,,,
ショーンマイケル,D,1,ブラスドラゴン (1),70,原,https://eldersign.jp/img/mi/g/f0/049_brass-dragon_0g7.png,ドラゴンスケイル / ファイアブレス / フレア / ベノムスクラッチ,リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=35&se=12&t=1,,,,,,,,,,
ショーンマイケル,D,5,ブラスドラゴン (2),79,亜1,https://eldersign.jp/img/mi/p/f0/049_brass-dragon_1g4.png,ダブルアタック / ドラゴンスケイル / ファイアブレス / ベノムスクラッチ / ベノムスティング,エンジェリックウィング / セントリー / ハートオブフレイム / ミラージュ / 敏捷ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=3&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=101&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=102&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=103&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=104&se=12&t=1,,,,,,
ショーンマイケル,D,2,ブラスドラゴン (3),79,亜1,https://eldersign.jp/img/mi/p/f0/049_brass-dragon_1g4.png,ダブルアタック / ベノムスクラッチ / ベノムスティング,セントリー / ハートオブフレイム,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=67&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=100&se=12&t=1,,,,,,,,,
ショーンマイケル,D,4,サキュバス,70,原,https://eldersign.jp/img/mi/g/f0/043_succubus_0g7.png,アイスボール / サクション / テンプテイション / ビシージ / ワインクラウド,エンジェリックウィング / ハートオブマーブル,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=3&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=101&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=105&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=107&se=12&t=1,,,,,,,
ショーンマイケル,D,1,モーラ (1),70,原,https://eldersign.jp/img/mi/g/f0/022_mora_0g7.png,スロウ / ブラッドスティール / ペイルムーン / リベレイション / リヴァイヴ,HPブースト / クィックオーダー,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=35&se=12&t=1,,,,,,,,,,
ショーンマイケル,D,5,モーラ (2),70,亜2,https://eldersign.jp/img/mi/g/f0/022_mora_2g4.png,ファイアボール / フラッシュファイア / ブラッドスティール / ペイルムーン / リベレイション,HPブースト / エンジェリックウィング / クィックオーダー / リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=3&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=101&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=105&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=106&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=107&se=12&t=1,,,,,,
ショーンマイケル,D,5,ペリ,70,原,https://eldersign.jp/img/mi/g/f0/042_peri_0g4.png,イーヴルフルート / ツイスター / フラッシュファイア / ムーランルージュ / リヴァイヴ,ハートオブオーシャン / レジストシール,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=3&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=101&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=105&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=106&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=107&se=12&t=1,,,,,,
ショーンマイケル,D,2,アンクー,70,原,https://eldersign.jp/img/mi/g/f0/044_ankou_0g7.png,アイスボール / デスサイズ / パンデミック / ビーストキラー / フラッシュフラッド,セントリー / リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=35&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=103&se=12&t=1,,,,,,,,,
ショーンマイケル,D,1,スノウ (1),51,原,https://eldersign.jp/img/mi/g/f0/020_snow_0g7.png,コールドウェーブ / スノウストーム,敏捷ブースト / 魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=106&se=12&t=1,,,,,,,,,,
ショーンマイケル,D,1,スノウ (2),70,亜1,https://eldersign.jp/img/mi/g/f0/020_snow_1g4.png,スノウストーム / スリートストーム / ブラッドスティール / ペイルムーン / 氷の花,リフレクション,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=106&se=12&t=1,,,,,,,,,,
ショーンマイケル,D,3,スノウ (3),50,亜2,https://eldersign.jp/img/mi/g/f0/020_snow_2g4.png,コールドボルト / スノウストーム / スリートストーム / パンデミック / 氷の花,リジェネレイト / レジストポイズン,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=35&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=67&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=103&se=12&t=1,,,,,,,,
ショーンマイケル,D,4,ケット・エー,68,亜2,https://eldersign.jp/img/mi/g/f0/008_caitsith_2g7.png,エルフショット / スロウ / ファストブレード / ラピッドスタブ / リベレイション,エンジェリックウィング / リジェネレイト / 敏捷ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=67&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=100&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=102&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=104&se=12&t=1,,,,,,,
ショーンマイケル,D,5,ケット・ビー,60,亜2,https://eldersign.jp/img/mi/g/f0/008_caitsith_2g4.png,エルフショット / コールドウェーブ / スロウ / パンデミック / フラッシュフラッド,セントリー,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=67&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=100&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=102&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=103&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=104&se=12&t=1,,,,,,
ショーンマイケル,D,1,ドール,32,原,https://eldersign.jp/img/mi/g/f0/056_dhole_0g4.png,イートアライブ / カロウシブスピット / セメタリーゲート / プロテクトディザスター,エンジェリックウィング / 敏捷ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=100&se=12&t=1,,,,,,,,,,
ショーンマイケル,D,2,スノウ3,51,亜2,https://eldersign.jp/img/mi/g/f0/020_snow_2g4.png,スノウストーム / スリートストーム / パンデミック,エンジェリックウィング / 敏捷ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=102&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=104&se=12&t=1,,,,,,,,,
ショーンマイケル,D,2,ケット・シー,63,亜1,https://eldersign.jp/img/mi/g/f0/008_caitsith_1g7.png,アイスボール / エルフショット / エーテルクラウド / ブラッドスティール / ペイルムーン,エンジェリックウィング / ミラージュ,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=105&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=107&se=12&t=1,,,,,,,,,
pmg,E,10,ガッシムレッド (1),60,原,https://eldersign.jp/img/mi/g/f0/055_dark-young_0g4.png,まさぐり / ガッシマ / チャージ / ベノムスクラッチ / ペトロガス,カウンター / リジェネレイト / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=4&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=68&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=100&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=133&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=134&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=135&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=136&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=137&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=138&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=139&se=12&t=1,
pmg,E,1,ガッシムレッド (2),59,原,https://eldersign.jp/img/mi/g/f0/055_dark-young_0g4.png,まさぐり / ベノムスクラッチ / ペトロガス,カウンター / リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=36&se=12&t=1,,,,,,,,,,
pmg,E,11,ガッシムブルー,56,原,https://eldersign.jp/img/mi/g/f0/055_dark-young_0g4.png,ガッシマ / スタンピード / チャージ / バインドグラスプ / ペトロガス,カウンター,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=4&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=36&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=68&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=100&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=133&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=134&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=135&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=136&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=137&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=138&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=139&se=12&t=1
