player,letter,出場回数,monster,level,variant,image,A(アクティブ),P(コンパニオン),url01,url02,url03,url04,url05,url06,url07,url08,url09,url10,url11
カリスト,K,6,地を喰らうスピキ,80,亜1,https://eldersign.jp/img/mi/p/f0/056_dhole_1g4.png,カロウシブスピット / スキュアー / スタンピード / トライペック / ブラッドセイバー,ハートオブオーシャン / リジェネレイト / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=10&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=74&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=106&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=202&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=266&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=298&se=12&t=1,,,,,
カリスト,K,1,復活の淫夢くんUC,78,亜2,https://eldersign.jp/img/mi/p/f0/057_arch-displacers_2g7.png,カラカス / フォトケミカルスモッグ / ベノムスクラッチ / ルルハラント / 光のベール,クィックオーダー / ボディケア,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=10&se=12&t=1,,,,,,,,,,
カリスト,K,6,星のスピキ擬態型,76,亜2,https://eldersign.jp/img/mi/p/f0/052_star-vampire_2g7.png,アンブッシュ / カラカス / フォトケミカルスモッグ / ミラーズ / 光のベール,HPブースト / クィックオーダー / ボディケア / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=10&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=74&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=106&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=202&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=266&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=298&se=12&t=1,,,,,
カリスト,K,6,比良坂初音,79,亜2,https://eldersign.jp/img/mi/p/f0/066_atlach-nacha_2g4.png,エルフショット / ミラーズ / ユロール / 光のベール / 光の楔,ハートオブフレイム / リジェネレイト / レジストバインド / 守りのミンネ / 心の棘 / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=10&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=74&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=106&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=202&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=266&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=298&se=12&t=1,,,,,
カリスト,K,5,シヴ山のドラゴン,74,亜2,https://eldersign.jp/img/mi/p/f0/049_brass-dragon_2g4.png,シャドウレイド / スキュアー / スタンピード / ベノムスクラッチ / ヴェンデッタ,ハートオブオーシャン / ハートオブフレイム / リジェネレイト / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=42&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=138&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=170&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=234&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=331&se=12&t=1,,,,,,
カリスト,K,5,Hydra,79,亜1,https://eldersign.jp/img/mi/p/f0/048_hydra_1g4.png,アースクェイク / ウォークライ / スキュアー / スタンピード / ブラッドセイバー,ハートオブオーシャン / ハートオブフレイム / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=42&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=138&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=170&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=234&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=331&se=12&t=1,,,,,,
カリスト,K,5,Simorgh,75,亜1,https://eldersign.jp/img/mi/p/f0/046_simorgh_1g7.png,アースクェイク / カラカス / ステイシス / テンペスト / ドラゴニックロア / バードサンクチュアリ,HPブースト / クィックオーダー / ハートオブフレイム / ボディケア / リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=42&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=138&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=170&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=234&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=331&se=12&t=1,,,,,,
カリスト,K,5,CatsOfUlthar,70,原,https://eldersign.jp/img/mi/g/f0/065_cats-of-ulthar_0g7.png,カラカス / フライト / 光のベール / 光の楔 / 月光浴,HPブースト / クィックオーダー / ハートオブフレイム / ボディケア / リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=42&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=138&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=170&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=234&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=331&se=12&t=1,,,,,,
カリスト,K,5,畝の後ろの後ろを歩くモノ,70,原,https://eldersign.jp/img/mi/g/f0/055_dark-young_0g4.png,スキュアー / スタンピード / トライペック / トランキリティ / ベノムスクラッチ,ハートオブオーシャン / リジェネレイト / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=74&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=106&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=202&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=266&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=298&se=12&t=1,,,,,,
タカヤマン,I,3,ドール／壱,61,原,https://eldersign.jp/img/mi/g/f0/056_dhole_0g4.png,アウターキラー / アースクェイク / スキュアー / スタンピード / チャージ,ミラージュ / リジェネレイト / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=8&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=72&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=200&se=12&t=1,,,,,,,,
タカヤマン,I,1,ドール／弐,44,原,https://eldersign.jp/img/mi/g/f0/056_dhole_0g4.png,アースクェイク / ミラーズ / ユロール / 光のベール,守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=8&se=12&t=1,,,,,,,,,,
タカヤマン,I,1,F.S.M.～１,57,原,https://eldersign.jp/img/mi/g/f0/053_fsm_0g7.png,アゼランザ / フォトケミカルスモッグ / 光のベール / 光の楔,リジェネレイト / 守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=8&se=12&t=1,,,,,,,,,,
タカヤマン,I,3,スターヴァンパイア☆,49,原,https://eldersign.jp/img/mi/g/f0/052_star-vampire_0g7.png,ミラーズ / ユロール / 光のベール / 光の楔 / 風葬,ハートオブフレイム / ミラージュ,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=8&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=72&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=200&se=12&t=1,,,,,,,,
タカヤマン,I,1,ペリ／冷,73,亜2,https://eldersign.jp/img/mi/p/f0/042_peri_2g7.png,アイスランス / スノウストーム / ペイルムーン / 氷の刻印 / 氷の花,リジェネレイト / 守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=40&se=12&t=1,,,,,,,,,,
タカヤマン,I,2,ケット・シー／１号,70,亜2,https://eldersign.jp/img/mi/g/f0/008_caitsith_2g7.png,テンペスト / ヒヤデスウィンド / フェアリーエイド / ペイルムーン / 光のベール,HPブースト / クィックオーダー / ハートオブウィンド,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=40&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=265&se=12&t=1,,,,,,,,,
タカヤマン,I,3,スノウ／白,70,亜2,https://eldersign.jp/img/mi/g/f0/020_snow_2g7.png,ヒヤデスウィンド / フサリア / リヴァイヴ / ルビーレイン / 炎の刻印,HPブースト / クィックオーダー / ハートオブフレイム / ハートオブマーブル / ミラージュ,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=40&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=104&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=265&se=12&t=1,,,,,,,,
タカヤマン,I,3,サキュバス様,82,亜1,https://eldersign.jp/img/mi/p/f0/043_succubus_1g7.png,エルフショット / シュリンク / ヒーリングウィンド / ペイルムーン / 光のベール,ハートオブウィンド / ハートオブマーブル / ミラージュ,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=40&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=168&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=265&se=12&t=1,,,,,,,,
タカヤマン,I,2,ティンダロスハウンド@,60,亜1,https://eldersign.jp/img/mi/p/f0/054_hounds-of-tindalos_1g4.png,スキュアー / フェイズアウト / ルルハラント / 光のベール / 光の楔,リジェネレイト / 守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=72&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=200&se=12&t=1,,,,,,,,,
タカヤマン,I,3,F.S.M.～②,66,亜2,https://eldersign.jp/img/mi/p/f0/053_fsm_2g7.png,テンペスト / フォトケミカルスモッグ / ミラーズ / ユロール / 光の楔,ハートオブフレイム / 守りのミンネ / 心の棘,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=72&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=200&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=267&se=12&t=1,,,,,,,,
タカヤマン,I,1,スノウ／紺,38,亜1,https://eldersign.jp/img/mi/g/f0/020_snow_1g7.png,アイギスシールド / スノウストーム / フサリア / ペイルムーン / 光のベール,リジェネレイト / 守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=104&se=12&t=1,,,,,,,,,,
タカヤマン,I,1,スノウ／藍,59,亜1,https://eldersign.jp/img/mi/g/f0/020_snow_1g7.png,キャンセレイション / テンペスト / ヒヤデスウィンド / フェアリーエイド / フサリア,HPブースト / クィックオーダー,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=104&se=12&t=1,,,,,,,,,,
