player,monster,level,variant,出場回数,A(アクティブ),P(コンパニオン),url01,url02,url03,url04,url05,url06,url07,url08,url09,url10,url11
ClayClay,誰そ彼,33,亜種1,3,カラカス / ダブルアタック / トライペック / ベノムスクラッチ / 光のベール,リジェネレイト / 守りのミンネ / 心の棘 / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=5&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=69&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=169&se=5&t=1,,,,,,,,
ClayClay,熱峰分,30,亜種2,2,シャドウレイド / ダブルアタック / チャージ / デルタスラッシュ / バインドグラスプ,セントリー / リジェネレイト / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=5&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=167&se=5&t=1,,,,,,,,,
ClayClay,シルバードラゴン,34,原種,5,カラカス / テンペスト / バーニングレイジ / 光のベール / 火葬,クィックオーダー / リジェネレイト / リフレクション / 命中ブースト / 悪目立ち / 戦いのエール / 敏捷ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=5&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=133&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=166&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=167&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=171&se=5&t=1,,,,,,
ClayClay,ハルテ,57,原種,7,アゼランザ / パンデミック / ヒヤデスウィンド / ファイアランス / 炎の刻印,クィックオーダー / リジェネレイト / 敏捷ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=5&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=37&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=69&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=101&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=168&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=169&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=170&se=5&t=1,,,,
ClayClay,コア,35,原種,1,デルバイス / 闇の刻印,ミラージュ / 心の棘,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=37&se=5&t=1,,,,,,,,,,
ClayClay,デルバイス,32,原種,1,闇の刻印,ハートオブフレイム / ミラージュ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=37&se=5&t=1,,,,,,,,,,
ClayClay,イシュ,38,原種,6,アイスランス / ステイシス / ストームワーニング / スリートストーム / テンペスト,クィックオーダー / ミラージュ / 命中ブースト / 悪目立ち / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=37&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=69&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=101&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=168&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=169&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=170&se=5&t=1,,,,,
ClayClay,パティ,41,原種,3,エルフショット / ダイブ / ペイルムーン / リベレイション / ロッツオブラフ,クィックオーダー / 守りのミンネ / 心の壁 / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=69&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=101&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=169&se=5&t=1,,,,,,,,
ClayClay,アークディスプレイサー,44,原種,3,ジャバー / スリープクラウド / ヒカップ / ホロウワールド / リヴァイヴ,クィックオーダー / 守りのミンネ / 心の壁,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=101&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=168&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=170&se=5&t=1,,,,,,,,
ClayClay,ハルドル,34,原種,1,アースクェイク / ランドスライド,守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=133&se=5&t=1,,,,,,,,,,
ClayClay,アス,40,原種,3,アースクェイク / カロウシブスピット / シードハウザー / ダルバドーハ / ラーヴァフロウ,ハートオブオーシャン / リフレクション / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=133&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=166&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=167&se=5&t=1,,,,,,,,
ClayClay,夜庵,28,亜種1,3,カラカス / ディスペル / フライト / 光の楔 / 月光浴,エンジェリックウィング / カウンター / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=133&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=167&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=171&se=5&t=1,,,,,,,,
ClayClay,セント,31,原種,2,アースクェイク / カロウシブスピット / ダイブ / ラーヴァフロウ / 炎の楔,ハートオブウィンド / リフレクション / 守りのミンネ / 心の壁,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=166&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=171&se=5&t=1,,,,,,,,,
ClayClay,スピル,32,原種,1,アイスランス / スリートストーム / フラッド / ルルハラント,エンジェリックウィング / コールドアシスト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=166&se=5&t=1,,,,,,,,,,
ClayClay,ブラスドラゴン,34,原種,3,スタンピード / チャージ / ヒカップ / ランドスライド,レジストバインド / レジストフィアー / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=168&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=170&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=171&se=5&t=1,,,,,,,,
タカヤマン,パズズ／赤目,49,亜種2,3,ダブルアタック / デルタスラッシュ / ドラゴニックロア / バインドグラスプ,リジェネレイト / 守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=3&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=67&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=106&se=5&t=1,,,,,,,,
タカヤマン,シルドラ壱型,51,原種,3,アースクェイク / デスサイズ / ビーストキラー / ベノムスティング / 光の刻印,ハートオブオーシャン / ミラージュ / リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=3&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=67&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=106&se=5&t=1,,,,,,,,
タカヤマン,カシャ／黒,52,亜種1,3,ヒーリング / ペイルムーン / 光のベール / 光の楔 / 風葬,エンジェリックウィング / リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=3&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=67&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=106&se=5&t=1,,,,,,,,
タカヤマン,クン・アヌン／白,45,亜種2,2,クルセイド / 光のベール / 光の楔 / 風葬,ハートオブフレイム / ミラージュ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=3&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=67&se=5&t=1,,,,,,,,,
タカヤマン,ドール／壱,52,原種,2,アウターキラー / アースクェイク / スキュアー / スタンピード / チャージ,ハートオブオーシャン / リジェネレイト / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=35&se=5&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=102&se=5&t=1,,,,,,,,,
