player,monster,level,variant,出場回数,A(アクティブ),P(コンパニオン),url01,url02,url03,url04,url05,url06,url07,url08,url09,url10,url11
ハイジ,通常パズズ,54,原種,11,チャージ / デルタスラッシュ / ドラゴニックロア / ハードブロウ / ベノムスティング,守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=9&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=41&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=73&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=105&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=137&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=169&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=201&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=233&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=265&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=298&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=299&se=6&t=1
ハイジ,魔力ルサルカ,50,原種,11,アイスランス / ウィンターブラスト / スリートストーム / フラッド / ペイルムーン,エンジェリックウィング / 魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=9&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=41&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=73&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=105&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=137&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=169&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=201&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=233&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=265&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=298&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=299&se=6&t=1
ハイジ,グレちゃん,37,亜種1,11,アウェイクニング / アムネジア / ウィンドボルト / ファイアランス / 風葬,HPブースト / クィックオーダー / ミラージュ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=9&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=41&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=73&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=105&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=137&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=169&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=201&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=233&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=265&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=298&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=299&se=6&t=1
savekimo,フラーユ (1),25,原種,7,ウィンドボルト / コールドボルト / ヒーリング,エンジェリックウィング / ハートオブウィンド / フレイムアシスト / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=2&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=68&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=70&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=72&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=73&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=74&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=75&se=6&t=1,,,,
savekimo,フラーユ (2),25,原種,1,コールドボルト,エンジェリックウィング,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=71&se=6&t=1,,,,,,,,,,
savekimo,ハイドラ,48,原種,4,スウィング / ダブルアタック / チャージ / ハードブロウ / ラーヴァフロウ,戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=2&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=34&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=67&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=69&se=6&t=1,,,,,,,
savekimo,天然ペイル,16,原種,5,ブラッドスティール / ペイルムーン,守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=2&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=68&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=70&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=72&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=74&se=6&t=1,,,,,,
savekimo,モーラ,30,亜種2,3,エルフショット / ヒーリング / ブラッドスティール,レジストスリープ / レジストチャーム,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=2&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=68&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=70&se=6&t=1,,,,,,,,
savekimo,ウルタールの猫,19,原種,3,ヒーリング / フライト / 月光浴,守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=34&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=67&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=69&se=6&t=1,,,,,,,,
savekimo,覚醒済,20,亜種1,3,ヒーリング / ファイアボルト / 光の楔 / 風葬,,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=34&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=67&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=69&se=6&t=1,,,,,,,,
