player,letter,出場回数,monster,level,variant,image,A(アクティブ),P(コンパニオン),url01,url02,url03,url04,url05,url06,url07,url08,url09,url10,url11
イマクロ,C,1,エアリエル (1),61,原,https://eldersign.jp/img/mi/g/f0/039_ariel_0g7.png,テンペスト / ヒヤデスウィンド / フェアリーエイド / ペイルムーン / 光のベール,守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=2&se=8&t=1,,,,,,,,,,
イマクロ,C,4,エアリエル (2),56,原,https://eldersign.jp/img/mi/g/f0/039_ariel_0g4.png,アゼランザ / エンジェルダスト / トランキリティ / ファイアボルト / フォトケミカルスモッグ,クィックオーダー / リジェネレイト / 守りのミンネ / 防御ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=2&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=69&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=71&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=73&se=8&t=1,,,,,,,
イマクロ,C,2,ルサルカ,64,原,https://eldersign.jp/img/mi/g/f0/041_rusalka_0g4.png,ヒヤデスウィンド / フサリア / フラッシュファイア / リヴァイヴ / 炎の刻印,クィックオーダー / ハートオブマーブル / ミラージュ / 防御ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=2&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=74&se=8&t=1,,,,,,,,,
イマクロ,C,1,サキュバス,46,原,https://eldersign.jp/img/mi/g/f0/043_succubus_0g7.png,アウェイクニング / キャンセレイション / スタンダールシンドローム / テンプテイション / ペイルムーン,ミラージュ / リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=2&se=8&t=1,,,,,,,,,,
イマクロ,C,8,ブラスドラゴン (1),70,原,https://eldersign.jp/img/mi/g/f0/049_brass-dragon_0g4.png,アウターキラー / アースクェイク / ウォークライ / ブラッドセイバー / ラーヴァフロウ,ハートオブウィンド / ミラージュ / レジストシール / レジストペトリ / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=34&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=68&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=69&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=70&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=71&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=72&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=73&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=75&se=8&t=1,,,
イマクロ,C,1,ブラスドラゴン (2),70,原,https://eldersign.jp/img/mi/g/f0/049_brass-dragon_0g4.png,ラーヴァフロウ,守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=67&se=8&t=1,,,,,,,,,,
イマクロ,C,9,ハイドラ,70,原,https://eldersign.jp/img/mi/g/f0/048_hydra_0g7.png,アースクェイク / ウォークライ / スタンピード / ブラッドセイバー / ラーヴァフロウ,カウンター / ハートオブウィンド / リフレクション / レジストシール / レジストペトリ / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=34&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=67&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=68&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=69&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=70&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=71&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=72&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=73&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=75&se=8&t=1,,
イマクロ,C,8,ウルタールの猫,56,亜1,https://eldersign.jp/img/mi/g/f0/065_cats-of-ulthar_1g7.png,エルフショット / パンデミック / フライト / 月光浴 / 炎の楔,クィックオーダー / ハートオブフレイム / フレイムアシスト / ミラージュ / リジェネレイト / リフレクション / 命中ブースト / 守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=34&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=67&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=68&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=69&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=70&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=72&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=73&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=75&se=8&t=1,,,
イマクロ,C,7,シムルグ,70,原,https://eldersign.jp/img/mi/g/f0/046_simorgh_0g7.png,キャンセレイション / テンペスト / ドラゴニックロア / 光のベール / 炎の楔,クィックオーダー / リフレクション / 命中ブースト / 守りのミンネ / 悪目立ち / 戦いのエール / 防御ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=34&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=67&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=68&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=70&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=71&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=72&se=8&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=75&se=8&t=1,,,,
イマクロ,C,1,アークディスプレイサー,70,原,https://eldersign.jp/img/mi/g/f0/057_arch-displacers_0g4.png,スリープクラウド / セメタリーゲート / フェイズアウト / ホロウワールド,レジストシック / レジストスリープ,https://eldersign.jp/rankmatch?cmd=v&rk=0&v=74&se=8&t=1,,,,,,,,,,
